NR;Geschlecht;Alter;Nielsen;Bundesland;Arbeitsstatus;Kinder im Haushalt (<18);Haushaltsgröße;Haushaltseinkommen;Familienstand;Berufs- / Akademische Bildung;Schulbildung;Stadt;Urban (>100k Einw.);PLZ;Land;Platform;Beantwortungsdauer in Sek.;Beantwortungszeit;1. Wir zeigen Dir im Folgenden immer drei Eiscremeangebote, die sich auf vier Faktoren unterscheiden: Sorte, Art des Bechers, Preis, und ob Streusel auf dem Eis sind. Bitte entscheide Dich jedes Mal, welches Eiscremeangebot Du am ehesten kaufen würdest.;2. Welche dieser Eiskugeln würdest du am ehesten kaufen?;3. Welche dieser Eiskugeln würdest du am ehesten kaufen?;4. Welche dieser Eiskugeln würdest du am ehesten kaufen?;5. Welche dieser Eiskugeln würdest du am ehesten kaufen?;6. Welche dieser Eiskugeln würdest du am ehesten kaufen?;7. Welche dieser Eiskugeln würdest du am ehesten kaufen?;8. Welche dieser Eiskugeln würdest du am ehesten kaufen?;9. Welche dieser Eiskugeln würdest du am ehesten kaufen?;10. Welche dieser Eiskugeln würdest du am ehesten kaufen?;11. Welche dieser Eiskugeln würdest du am ehesten kaufen?;12. Welche dieser Eiskugeln würdest du am ehesten kaufen?;13. Welche dieser Eiskugeln würdest du am ehesten kaufen?;14. Welche dieser Eiskugeln würdest du am ehesten kaufen?;15. Welche dieser Eiskugeln würdest du am ehesten kaufen?;16. Welche dieser Eiskugeln würdest du am ehesten kaufen?;17. Welche dieser Eiskugeln würdest du am ehesten kaufen?;18. Bei dieser Frage bitten wir dich, die richtige Antwort auszuwählen. Welches der folgenden Tiere lebt im Wasser? Achtung: Kontrollfrage!
348;f;38;3a;Rheinland-Pfalz;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;2000€ bis 3000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;Rheinbrohl;-;56598;DEU;Android;149;2021-06-18 14:52:16;-;1A;2B;3A;4C;5C;6B;7C;8C;9B;10B;11C;12C;13B;14A;15B;16A;Hai
349;m;18;7;Sachsen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;4 Personen;>5000€;Single / Ledig;(Noch) kein Abschluss;Abitur / Fachabitur;Dohna, Sachsen;-;01809;DEU;iOS;142;2021-06-18 14:47:15;-;1A;2B;3B;4C;5A;6A;7A;8C;9C;10B;11A;12C;13B;14A;15B;16B;Hai
350;m;20;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;1000€ bis 2000€;Single / Ledig;(Noch) kein Abschluss;Abitur / Fachabitur;Wuerzburg;x;97082;DEU;iOS;153;2021-06-18 14:49:48;-;1A;2B;3B;4C;5C;6A;7A;8C;9B;10B;11A;12C;13B;14A;15B;16B;Hai
351;f;20;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;Mehr als 4 Personen;4000€ bis 5000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Petershagen;-;32469;DEU;iOS;86;2021-06-18 14:46:56;-;1A;2B;3C;4B;5C;6A;7B;8A;9C;10A;11A;12B;13B;14C;15C;16A;Hai
352;m;56;6;Mecklenburg-Vorpommern;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;Schwerin;-;19053;DEU;Android;203;2021-06-18 14:59:34;-;1A;2B;3B;4C;5A;6A;7A;8C;9B;10B;11A;12C;13B;14A;15B;16A;Hai
353;m;68;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;2 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Abitur / Fachabitur;Nettetal;-;41334;DEU;Android;319;2021-06-18 14:51:15;-;1B;2B;3A;4C;5B;6A;7A;8C;9B;10B;11C;12B;13B;14B;15C;16A;Hai
354;m;17;4;Bayern;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;4 Personen;>5000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;Dollnstein;-;91795;DEU;Android;198;2021-06-18 14:59:24;-;1A;2A;3C;4A;5C;6A;7C;8A;9C;10B;11C;12A;13A;14A;15C;16A;Hai
355;f;44;3a;Rheinland-Pfalz;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Abitur / Fachabitur;Waldmohr;-;66914;DEU;Android;243;2021-06-18 14:51:50;-;1A;2B;3B;4C;5C;6A;7A;8C;9C;10B;11A;12C;13B;14A;15B;16A;Hai
356;m;31;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbilung;Abitur / Fachabitur;Lengerich;-;49525;DEU;Android;94;2021-06-18 14:51:56;-;1B;2A;3A;4B;5A;6C;7A;8C;9C;10B;11B;12C;13B;14A;15A;16B;Hai
357;m;26;1;Hamburg;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;Hamburg;x;21075;DEU;Android;42;2021-06-18 14:46:57;-;1C;2B;3B;4A;5B;6A;7C;8A;9A;10C;11C;12B;13A;14A;15A;16B;Hai
358;m;35;1;Niedersachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Realschulabschluss;Nordhorn;-;48527;DEU;iOS;66;2021-06-18 14:47:45;-;1C;2C;3C;4B;5A;6B;7A;8A;9A;10A;11A;12C;13B;14C;15C;16B;Hai
359;f;19;2;Nordrhein-Westfalen;in Rente;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;>5000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;Emsdetten;-;48282;DEU;android;79;2021-06-18 14:50:19;-;1A;2C;3A;4B;5A;6B;7A;8A;9C;10A;11A;12B;13A;14C;15B;16C;Hai
360;m;19;2;Nordrhein-Westfalen;Sonstige;Keine Kinder (<18) im Haushalt;Mehr als 4 Personen;3000€ bis 4000€;Single / Ledig;(Noch) kein Abschluss;Abitur / Fachabitur;Paderborn;x;33102;DEU;iOS;117;2021-06-18 14:48:14;-;1C;2B;3A;4B;5C;6B;7A;8B;9B;10C;11B;12C;13B;14B;15B;16B;Hai
361;f;27;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Nuernberg;x;90459;DEU;Android;78;2021-06-18 14:54:22;-;1A;2B;3C;4C;5A;6A;7A;8B;9C;10B;11A;12C;13B;14A;15B;16B;Hai
362;f;34;7;Sachsen;in Rente;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;<1000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Rammenau;-;01877;DEU;android;69;2021-06-18 14:45:35;-;1A;2B;3C;4C;5C;6C;7C;8A;9C;10A;11C;12C;13B;14C;15A;16B;Hai
363;m;35;1;Schleswig-Holstein;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;2000€ bis 3000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;Gross Pampau;-;21493;DEU;Android;93;2021-06-18 14:58:26;-;1B;2B;3C;4B;5C;6A;7A;8A;9C;10B;11C;12C;13B;14C;15C;16A;Hai
364;f;37;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbilung;Abitur / Fachabitur;Aachen;x;52070;DEU;Android;222;2021-06-18 14:55:04;-;1A;2B;3B;4C;5A;6A;7A;8C;9B;10B;11A;12C;13B;14A;15B;16A;Hai
365;f;19;7;Thueringen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;In einer Beziehung;(Noch) kein Abschluss;Abitur / Fachabitur;Muehlhausen;-;99974;DEU;iOS;116;2021-06-18 14:49:03;-;1A;2C;3C;4C;5C;6A;7A;8A;9C;10B;11C;12C;13B;14A;15B;16A;Hai
366;f;18;3b;Baden-Wuerttemberg;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;Aalen;-;73430;DEU;iOS;94;2021-06-18 14:51:15;-;1B;2C;3B;4B;5A;6B;7C;8B;9A;10B;11B;12A;13B;14A;15C;16C;Hai
367;m;27;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;4000€ bis 5000€;In einer Beziehung;Lehre / Ausbilung;Abitur / Fachabitur;Essen;x;45145;DEU;Android;158;2021-06-18 14:53:23;-;1A;2A;3A;4C;5A;6B;7C;8C;9B;10B;11A;12C;13A;14B;15B;16B;Hai
368;m;23;1;Hamburg;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;1 Person;2000€ bis 3000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Hamburg;x;21073;DEU;iOS;47;2021-06-18 14:51:13;-;1A;2A;3C;4C;5C;6A;7B;8B;9B;10C;11A;12B;13C;14A;15C;16B;Hai
369;f;43;3a;Hessen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Frankfurt am Main;x;65934;DEU;android;132;2021-06-18 14:53:05;-;1C;2C;3C;4B;5B;6C;7C;8C;9C;10B;11C;12C;13C;14A;15C;16A;Hai
370;f;29;1;Niedersachsen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;3000€ bis 4000€;In einer Beziehung;(Noch) kein Abschluss;Realschulabschluss;Holtland;-;26835;DEU;iOS;214;2021-06-18 14:52:48;-;1A;2C;3B;4C;5C;6B;7A;8C;9B;10B;11A;12C;13B;14C;15B;16A;Hai
371;m;41;3a;Hessen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;Offenbach;-;63073;DEU;Android;443;2021-06-18 14:54:41;-;1A;2A;3B;4A;5A;6A;7C;8B;9B;10A;11B;12A;13A;14C;15B;16A;Hai
372;f;26;3a;Rheinland-Pfalz;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Pirmasens;-;66954;DEU;Android;111;2021-06-18 14:51:42;-;1A;2B;3A;4C;5C;6A;7B;8A;9C;10B;11C;12C;13B;14C;15B;16B;Hai
373;f;19;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;1000€ bis 2000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;Bonn;x;53111;DEU;iOS;212;2021-06-18 14:51:30;-;1A;2B;3C;4C;5A;6A;7A;8B;9C;10C;11A;12A;13B;14C;15C;16B;Hai
374;f;46;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;Single / Ledig;Universitärer Abschluss;Realschulabschluss;Duisburg;x;47169;DEU;Android;270;2021-06-18 14:49:18;-;1A;2B;3C;4C;5C;6A;7A;8B;9C;10B;11A;12C;13B;14A;15B;16A;Hai
375;f;24;4;Bayern;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;4000€ bis 5000€;In einer Beziehung;Lehre / Ausbilung;Abitur / Fachabitur;Karsbach;-;97783;DEU;android;104;2021-06-18 14:46:07;-;1A;2B;3A;4C;5C;6A;7C;8A;9C;10B;11C;12C;13B;14A;15B;16A;Hai
376;m;30;6;Brandenburg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;4000€ bis 5000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;Oberbarnim;-;15377;DEU;Android;710;2021-06-18 15:10:32;-;1A;2B;3B;4C;5C;6A;7A;8C;9B;10B;11A;12C;13B;14A;15B;16B;Hai
377;m;27;2;Nordrhein-Westfalen;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;Voerde;-;46562;DEU;Android;678;2021-06-18 15:02:42;-;1B;2B;3A;4A;5C;6C;7A;8B;9A;10B;11B;12A;13C;14A;15C;16B;Hai
378;m;42;3a;Rheinland-Pfalz;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;>5000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Schleid;-;54636;DEU;iOS;200;2021-06-18 14:54:47;-;1A;2B;3B;4C;5C;6A;7C;8C;9B;10B;11A;12C;13B;14A;15B;16A;Hai
379;m;36;3a;Hessen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;>5000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Frankfurt am Main;x;60313;DEU;iOS;146;2021-06-18 14:57:08;-;1A;2B;3A;4B;5C;6A;7C;8A;9B;10C;11A;12A;13B;14A;15B;16A;Hai
380;m;51;1;Schleswig-Holstein;Erwerbstätig;Keine Kinder (<18) im Haushalt;4 Personen;>5000€;In einer Beziehung;Lehre / Ausbilung;Abitur / Fachabitur;Neumuenster;-;24537;DEU;iOS;170;2021-06-18 14:49:08;-;1A;2C;3A;4B;5A;6A;7C;8A;9B;10C;11C;12A;13A;14A;15B;16A;Hai
381;m;41;1;Schleswig-Holstein;Erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;Worth;-;21502;DEU;Android;116;2021-06-18 14:56:27;-;1A;2B;3A;4C;5B;6A;7C;8A;9C;10B;11C;12C;13B;14A;15B;16A;Hai
382;m;19;4;Bayern;;;;;;;;Nuernberg;x;90489;DEU;iOS;275;2021-06-18 14:58:53;-;1A;2C;3A;4C;5C;6C;7B;8C;9C;10B;11C;12C;13A;14A;15B;16B;Hai
383;m;18;1;Niedersachsen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;3 Personen;>5000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;Springe;-;31832;DEU;android;88;2021-06-18 14:53:36;-;1A;2B;3B;4B;5A;6C;7C;8B;9C;10A;11B;12C;13B;14A;15A;16A;Hai
384;m;44;7;Sachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;Weisswasser;-;02943;DEU;Android;109;2021-06-18 15:49:05;-;1A;2C;3B;4C;5C;6B;7B;8C;9C;10B;11A;12C;13B;14C;15B;16A;Hai
385;m;24;5;Berlin;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;Berlin;x;10783;DEU;iOS;55;2021-06-18 14:58:18;-;1A;2A;3C;4A;5B;6A;7C;8B;9B;10C;11C;12B;13B;14B;15C;16B;Hai
386;f;21;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;3 Personen;1000€ bis 2000€;In einer Beziehung;Universitärer Abschluss;Realschulabschluss;Siegen;-;57074;DEU;iOS;95;2021-06-18 14:48:02;-;1C;2C;3C;4A;5B;6C;7C;8C;9A;10C;11A;12A;13A;14B;15C;16A;Hai
387;m;16;4;Bayern;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;4 Personen;>5000€;Single / Ledig;(Noch) kein Abschluss;Hauptschulabschluss;Muenchen;x;80997;DEU;iOS;151;2021-06-18 14:55:48;-;1A;2B;3A;4B;5A;6A;7C;8A;9B;10C;11B;12A;13B;14A;15A;16A;Hai
388;f;42;1;Niedersachsen;;;;;;;;Vechta;-;49377;DEU;iOS;122;2021-06-18 14:51:13;-;1A;2C;3C;4B;5A;6A;7A;8A;9B;10B;11A;12C;13A;14C;15B;16A;Hai
389;f;23;3a;Rheinland-Pfalz;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;In einer Beziehung;Universitärer Abschluss;Realschulabschluss;Neuwied;-;56564;DEU;android;92;2021-06-18 14:49:44;-;1C;2C;3B;4C;5C;6A;7A;8C;9C;10A;11C;12B;13B;14A;15B;16A;Hai
390;f;34;4;Bayern;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;2000€ bis 3000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;Straubing;-;94315;DEU;Android;162;2021-06-18 14:50:08;-;1A;2B;3B;4C;5C;6A;7A;8C;9C;10B;11A;12C;13B;14A;15B;16A;Hai
391;f;39;1;Niedersachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;Emden;-;26721;DEU;android;168;2021-06-18 14:51:34;-;1A;2B;3B;4C;5C;6B;7A;8C;9C;10B;11A;12C;13B;14A;15B;16A;Hai
392;m;19;4;Bayern;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;>5000€;Single / Ledig;(Noch) kein Abschluss;No degree;Regensburg;x;93047;DEU;Android;165;2021-06-18 14:52:10;-;1A;2B;3C;4C;5C;6A;7A;8A;9C;10B;11C;12C;13B;14C;15B;16A;Hai
393;f;19;3b;Baden-Wuerttemberg;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;<1000€;Single / Ledig;Universitärer Abschluss;Hauptschulabschluss;Gerabronn;-;74582;DEU;android;122;2021-06-18 14:49:27;-;1A;2B;3A;4C;5A;6B;7C;8B;9C;10B;11A;12C;13C;14C;15B;16B;Hai
394;f;20;3b;Baden-Wuerttemberg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;3000€ bis 4000€;In einer Beziehung;Lehre / Ausbilung;Abitur / Fachabitur;Stuttgart;x;70176;DEU;Android;149;2021-06-18 14:48:33;-;1A;2B;3C;4A;5C;6C;7A;8C;9C;10B;11A;12C;13B;14A;15B;16B;Hai
395;f;20;6;Mecklenburg-Vorpommern;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;Single / Ledig;(Noch) kein Abschluss;Hauptschulabschluss;Rostock;x;18106;DEU;iOS;100;2021-06-18 14:54:22;-;1A;2B;3A;4C;5C;6C;7A;8C;9C;10C;11C;12C;13B;14C;15C;16C;Hai
396;f;25;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;<1000€;In einer Beziehung;(Noch) kein Abschluss;Hauptschulabschluss;Muenster;x;48167;DEU;iOS;111;2021-06-18 14:46:21;-;1A;2C;3C;4C;5C;6A;7A;8A;9C;10B;11C;12C;13B;14C;15B;16A;Hai
397;m;30;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;>5000€;In einer Beziehung;(Noch) kein Abschluss;Abitur / Fachabitur;Duesseldorf;x;40549;DEU;iOS;118;2021-06-18 14:59:04;-;1A;2B;3B;4C;5A;6C;7C;8C;9B;10A;11A;12C;13B;14A;15C;16B;Hai
398;m;41;3a;Hessen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;2 Personen;3000€ bis 4000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;Offenbach;-;63071;DEU;iOS;439;2021-06-18 15:03:55;-;1A;2C;3B;4B;5A;6A;7C;8A;9B;10B;11B;12B;13C;14B;15A;16A;Hai
399;m;67;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Abitur / Fachabitur;Nettetal;-;41334;DEU;Android;353;2021-06-18 14:52:05;-;1A;2A;3B;4A;5B;6B;7C;8A;9B;10A;11C;12C;13C;14A;15C;16B;Hai
400;f;23;6;Sachsen-Anhalt;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;Halle (Saale);x;06110;DEU;Android;201;2021-06-18 14:50:19;-;1A;2B;3B;4C;5C;6A;7A;8C;9C;10B;11A;12C;13B;14A;15B;16A;Hai
